pn;source_id;source_engine_file;row_count;ai_decision;ai_confidence;ai_confidence_level;ai_reason;ai_suggested_action;qa_revision_estado;qa_revision_accion;designation_final;measure_final;weight_final
;1202994;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;23,000 g
;1203059;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;GROUND/EARTH LINE;;
;1203115;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PART PLUG-IN BOARD;;
;1203116;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PART DUST CAP FOR;;
;1203119;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTOR;;
;1203120;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COVER PLATE;;
;1203122;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COVER PLATE RETAINER PLAT;;
;1203125;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CABLE B;;
;1203478;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKSHAFT LR ACCEPTANCE 12V-06CWT-STROKE210;;
;1203683;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;O-RING;;
;1203685;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;INJECTOR;;3,500 kg
;1204488;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PUMP UNIT RICKMEIER,3 PHAS.230/400V,50HZ;;
;1204882;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;ADAPTER FLANGE;;
;1204883;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;NON-RETURN VALVE rtal Online Print 04-10-2;;
;1205864;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTING CAB;ELEKTR.ANLASSUNG;
;1206108;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;23,000 g
;1206154;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;23,000 g
;1206219;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;GROUND/EARTH LINE;;
;1206275;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PART PLUG-IN BOARD;;
;1206276;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PART DUST CAP FOR;;
;1206279;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTOR;;
;1206280;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COVER PLATE;;
;1206282;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COVER PLATE RETAINER PLAT;;
;1206285;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CABLE B;;
;1206373;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CIRCUIT BREAK;;
;1206374;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;AUXILIARY CON;;
;1206375;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;ILLUM PUSHBUTTON YELLOW;;
;1206376;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;ILLUM PUSHBUT;;
;1206377;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONTROL SWIT;;
;1206378;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;AUTOMATIC CU;;
;1206379;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;MASTER SWITC;;
;1206380;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CIRCUIT BREAK;;
;1206381;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CIRCUIT BREAK;;
;1206382;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SIGNAL LAMP W;;
;1206383;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SIGNAL LAMP G;;
;1206384;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SIGNAL LAMP R;;
;1206385;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SIGNAL LAMP Y;;
;1206387;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;FOUNDATION FOR PUMP SET;;
;1206399;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;WELDING-NECK FLANGE;DN 40;
;1206403;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SEALING RING;;
;1206532;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTOR BLANKING PLUG FOR;HD-SERIE GR.16 F. STRIKE, DT U;
;1206533;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTOR;"HD-SERIE NW22; 90&#x00B0; F.";
;1206541;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;F.SCHIRMANSCHLUSS CRIMP BARREL;"INNENRING BLAU 18,03X20,07MM;";
;1206542;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;F.SCHIRMANSCHLUSS Busines;AUSSENRING BLAU;
;1206543;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;BLADE CONNECTOR CRIMP CONTACT F/SEPARABLE;"CODE ""C"" 0,5-1,0QMM; BUCHSE";
;1206544;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECT CRIMP CONTACT F/SEPARABLE;"B-CRIMP 0,75-1,5QMM; BUCHS";
;1206545;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECT BLANKING PLUG FOR;B-CRIMP GR.20 F. STRIKE, DT U;
;1206596;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;0835SEPARABLE CONNECTOR;"GERADE;5POL. 47X135MM, BEDRUCKBAR";
;1206600;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;2940LINK;LILA 9,12X10,13MM;
;1206602;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;0832CABLE;"5X0,5QMM; D";
;1206603;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;2781MALE CONNECTOR;12-POL.BUCHSENGEHAEUSE;
;1206604;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;2782MALE CONNECTOR;"BUCHSE 12-POL. 0,5-1,0QMM; BUCHSE";
;1206605;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRIMP CONTACT 9020 F/SEPARABLE CONNECT;B-CRIMP EINZELADERABDICHTUNG;
;1900014;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKCASE;;1,641 to
;1900224;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKSHAFT HIGH POWER;nan;nan
;1900341;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PISTON;nan;11,842 kg
;1900374;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CYLINDER HEAD W.VALV;nan;52,400 kg
;1900477;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLUG;;
;1902000;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING WATER DISTRIBUTION;;KE
;1902150;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHIM;nan;
;1902161;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHIM;nan;
;1902386;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;nan
;1902454;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKCASE;;1,641 to
;1902664;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKSHAFT HIGH POWER;nan;nan
;1902781;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PISTON;nan;11,842 kg
;1902814;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CYLINDER HEAD W.VALV;nan;52,400 kg
;1902917;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLUG;;
;1904387;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING WATER DISTRIBUTION;;KE
;1904537;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHIM;nan;
;1904548;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHIM;nan;
;1904773;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;nan
;1904862;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIN;;0,600 g
;1904878;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE;;2,000 g
;1904897;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE;;2,000 g
;1904935;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING FOR GE MONITOR;;2,862 kg
;1904991;engine_12V4000M70.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;STRIP;ZN-DG/SCHWARZ/BEFEST.M5;51,400 g
;1905311;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING;;2,685 kg
;1905315;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;IDENTIFICATION PLATE;;1,000 g
;1905336;engine_12V4000M70.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;FRONT PANEL FOR;;nan
;1300042;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SAFETY VALVE LR ACCEPTANCE;;
;1300276;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;INTERMEDIATE MEMBER;;
;1300278;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;FLANGE;;
;1300279;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SIDE PLATE;;
;1300280;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;INNER STAR;;
;1300288;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;FELT INSERT;;
;1300289;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;RING;;
;1300352;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONROD;;
;1300353;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CYLINDER HE;;
;1300450;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SCREW 2;;
;1300595;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SEALING RING 2;;
;1300609;engine_16V4000M61.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PRESSURE GAUGE;NG 63, 0-6 BAR;
;1300610;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SWITCHGEAR CABINET;;
;1300611;engine_16V4000M61.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;DIFF-PRESSURE GAUGE WITH SWITCH;0-2,5 BAR, 2 KON;
;1300612;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SOLENOID VALVE;;
;1300613;engine_16V4000M61.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;NON-RETURN VALVE;DN25 0,7BAR;
;1300614;engine_16V4000M61.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;AUXILIARY CONTACTOR;24V 50-60HZ;
;1300615;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;ILLUM PUSHBUTTON YELLOW;;
;1300616;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;ILLUM PUSHBUTTON RED;;
;1300618;engine_16V4000M61.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SIGNAL LAMP YELLOW;INCL.LED 24V;
;1300751;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COOLER CHARGE AIR A-BANK LB;;
;1300874;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SOLENOID 1;;
;1301002;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHAFT;;
;1301003;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHAFT;;
;1301008;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING;;
;1301009;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING;;
;1301010;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE HOUSING;;
;1301011;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE HOUSING;;
;1301019;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SILENCER;;
;1301022;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE HOUSING;;
;1301033;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;UNION;;
;1301057;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;UNION;;
;1301070;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;DIAPHRAGM 1;;
;1301085;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;STOP;;
;1301088;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SCREW 2;;
;1301097;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CYLINDER 1;;
;1301099;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTING PIECE 1;;
;1301100;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE 1;;
;1301103;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE INSERT 1;;
;1301104;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLUG 1;;
;1301262;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLUG 1;;
;1301263;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PRESSURE SPRING 1;;
;1301264;engine_16V4000M61.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE PISTON;;
